,Tingkat Kompleksitas,Waktu Generasi,,Ukuran File,,FCP (s),,LCP (s),,Penggunaan Memori (MB),,SSIM,,Link Source,
,,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap,Tailwind CSS,Bootstrap
1,Rendah,"25,69","20,37","2,54","2,63","2,5","2,6","2,5","2,6","11,8","5,7","0,711","0,8547",https://chatgpt.com/share/68f4ad98-c140-8006-8bf8-1e4318b9649c,https://chatgpt.com/share/68f4ad96-fd5c-8006-a522-495cb3b1f371
2,Rendah,"23,15","17,1","2,35","2,02","2,3","1,8","2,3","1,8","6,5","5,1","0,7969","0,8402",https://chatgpt.com/share/68f4a49f-da4c-8006-80e7-035ecbde639a,https://chatgpt.com/share/68f4a4b4-e8f0-8006-ad4c-2352088c4017
3,Rendah,"17,16","15,93","1,61","1,34","2,4","1,7","2,4","1,7",7,"3,9","0,9693","0,9504",https://chatgpt.com/share/68f4ab93-c34c-8006-b59b-57db237a910f,https://chatgpt.com/share/68f4ab91-bba0-8006-93fb-e34a0a7bd75e
4,Rendah,"25,93","32,99","2,55","3,07","2,3","2,6","2,3","2,7","12,1",7,"0,8487","0,8235",https://chatgpt.com/share/68f518ba-8290-8006-8b30-2ac7eb66acce,https://chatgpt.com/share/68f518b8-5968-8006-8194-828b5a941db1
5,Rendah,"31,78","29,72","2,95","2,98","2,3","1,7","2,3","1,7","7,2","5,8","0,8575","0,8633",https://chatgpt.com/share/68f76052-bb88-8006-9626-796223472127,https://chatgpt.com/share/68f76054-d90c-8006-9a15-b49b4fdb3463
6,Rendah,"31,47","22,09","3,02","1,82","2,3","2,6","2,3","2,6","12,3","7,8","0,7777","0,8651",https://chatgpt.com/share/68f756cf-3450-8006-821f-d43a75ec11e1,https://chatgpt.com/share/68f756d0-d0c8-8006-ab6e-ce10bb1dabe6
7,Rendah,"29,95","28,61","2,87","2,65","2,4","1,7","2,8",2,"7,3","4,2","0,5653","0,5111",https://chatgpt.com/share/68f75787-6dd8-8006-84f6-b2a464af12ec,https://chatgpt.com/share/68f75785-1a70-8006-9ae3-7a225d048605
8,Rendah,"36,22","26,9","3,87","2,42","2,4","1,7",3,"1,9","12,4","5,5","0,5561","0,0173",https://chatgpt.com/share/68f75827-18b8-8006-ac69-43a23314396b,https://chatgpt.com/share/68f75828-ff84-8006-8cb2-952896ab525a
9,Rendah,"32,55","31,27","3,57","3,75","2,3","1,7","2,9","1,9","7,2","5,9","0,5537","0,0091",https://chatgpt.com/share/68f758da-d9dc-8006-98f9-c7336915d85a,https://chatgpt.com/share/68f758dd-2cb4-8006-a4f1-7df90bee11d2
10,Rendah,"26,39",26,"1,92","1,82","2,4","1,7","2,9","1,9","7,2","4,1","0,8673","0,6786",https://chatgpt.com/share/68f75994-26b8-8006-8c37-ae52b1197c5f,https://chatgpt.com/share/68f75996-8bb4-8006-8a87-fa4920359a0f
1,Sedang,"23,98",23,"3,39","3,36","2,4","2,5",3,"2,7","7,2",6,"0,647","0,6923",https://chatgpt.com/share/68f4acea-9868-8006-9343-fbb7ea94a38d,https://chatgpt.com/share/68f4acec-8610-8006-8760-9db4d69f6612
2,Sedang,"45,29","25,71","6,34","3,34","2,3","2,4","2,8","2,6","12,3",8,"0,8414","0,8586",https://chatgpt.com/share/68f4b182-0564-8006-8235-81e1841fabe4,https://chatgpt.com/share/68f4b1d2-d238-8006-87f6-5a682cf9be88
3,Sedang,"20,94","26,26","3,05","3,33","2,3","2,5","2,8","3,2",7,"5,9","0,9021","0,8871",https://chatgpt.com/share/68f4b062-aad8-8006-abbe-bb7cf40dee23,https://chatgpt.com/share/68f4b060-2bc8-8006-b37c-b6182ba1e407
4,Sedang,"36,87","22,76","4,72","3,53","2,6","1,9","2,6","1,9","12,2","6,3","0,6437","0,7228",https://chatgpt.com/share/68f4af5b-3818-800c-ab40-ad6b273607c2,https://chatgpt.com/share/68f4af6d-3b94-800c-90bb-3c19a05d84bb
5,Sedang,"18,85","20,98","2,83","3,06","2,3","1,8","2,3","1,8","6,9","4,1","0,6372","0,7787",https://chatgpt.com/share/68f4ae6a-295c-800c-a5c8-1d05fe21ce94,https://chatgpt.com/share/68f4ae83-5138-800c-982c-3372a65ecb72
6,Sedang,"29,37","14,55","2,25","2,26","2,4","1,7","2,4","1,9","12,2","5,3","0,7731","0,8054",https://chatgpt.com/share/68f4aeba-cd04-800c-aaf8-9bfde0865cf4,https://chatgpt.com/share/68f4aea8-5440-800c-a76d-1fe0cebb7820
7,Sedang,"28,07","28,17","5,7","4,84","2,4","1,9","2,8",2,"7,2","4,3","0,6212","0,6125",https://chatgpt.com/share/68f4adf5-5b64-800c-b79e-8812675b441a,https://chatgpt.com/share/68f4ae10-527c-800c-a2dc-e27473b31b67
8,Sedang,"31,54","30,42","5,63","5,78","2,3","1,7",3,"1,9","12,4","7,4","0,6256","0,6614",https://chatgpt.com/share/68f4a5d8-88cc-8006-9123-c2bea01871a9,https://chatgpt.com/share/68f4a5d6-ec5c-8006-a738-64bcbd805ca4
9,Sedang,"29,29","28,67","3,76","3,81","2,3","1,7","2,8","1,9","7,1","4,3","0,6204","0,703",https://chatgpt.com/share/68f4a9a7-7c8c-8006-b9be-ffc83d9c2ee9,https://chatgpt.com/share/68f4a996-e3c0-8006-9c6e-119f9d977c45
10,Sedang,"44,36",40,"4,48","4,57","2,3","2,5",3,"3,2",18,"9,8","0,6585","0,6715",https://chatgpt.com/share/68f5170f-c47c-8006-90cf-5fdecfe6ceeb,https://chatgpt.com/share/68f51711-e490-8006-ba01-2273e6dc50f2
1,Tinggi,"32,67","28,98","5,33","4,73","2,4","1,7",3,"1,9","6,8","3,9","0,7295","0,7423",https://chatgpt.com/share/68f4af2b-9200-800c-be6b-aaa3ee8b831f,https://chatgpt.com/share/68f4af40-eea4-800c-8bb8-4245505102e4
2,Tinggi,"27,82","22,89","3,7","3,9","2,4","2,6","2,8","2,6","7,2","5,9","0,7229","0,7095",https://chatgpt.com/share/68f4aed2-f874-800c-970d-69013c6d3eec,https://chatgpt.com/share/68f4aee7-8e68-800c-aee0-ff70402efca2
