Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,2.5,2.6
Rendah,2.3,1.8
Rendah,2.4,1.7
Rendah,2.3,2.6
Rendah,2.3,1.7
Rendah,2.3,2.6
Rendah,2.4,1.7
Rendah,2.4,1.7
Rendah,2.3,1.7
Rendah,2.4,1.7
Sedang,2.4,2.5
Sedang,2.3,2.4
Sedang,2.3,2.5
Sedang,2.6,1.9
Sedang,2.3,1.8
Sedang,2.4,1.7
Sedang,2.4,1.9
Sedang,2.3,1.7
Sedang,2.3,1.7
Sedang,2.3,2.5
Tinggi,2.4,1.7
Tinggi,2.4,2.6
Tinggi,2.3,2.5
Tinggi,2.3,1.8
Tinggi,2.3,2.6
Tinggi,2.3,1.9
Tinggi,2.3,1.8
Tinggi,2.3,1.7
Tinggi,2.4,2.6
Tinggi,2.3,2.5
