Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,2.5,2.6
Rendah,2.3,1.8
Rendah,2.4,1.7
Rendah,2.3,2.7
Rendah,2.3,1.7
Rendah,2.3,2.6
Rendah,2.8,2
Rendah,3,1.9
Rendah,2.9,1.9
Rendah,2.9,1.9
Sedang,3,2.7
Sedang,2.8,2.6
Sedang,2.8,3.2
Sedang,2.6,1.9
Sedang,2.3,1.8
Sedang,2.4,1.9
Sedang,2.8,2
Sedang,3,1.9
Sedang,2.8,1.9
Sedang,3,3.2
Tinggi,3,1.9
Tinggi,2.8,2.6
Tinggi,2.3,3.2
Tinggi,2.3,1.8
Tinggi,2.3,2.6
Tinggi,2.3,2.4
Tinggi,2.3,1.9
Tinggi,3,1.9
Tinggi,2.8,2.7
Tinggi,2.8,2.6
