Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,11.8,5.7
Rendah,6.5,5.1
Rendah,7,3.9
Rendah,12.1,7
Rendah,7.2,5.8
Rendah,12.3,7.8
Rendah,7.3,4.2
Rendah,12.4,5.5
Rendah,7.2,5.9
Rendah,7.2,4.1
Sedang,7.2,6
Sedang,12.3,8
Sedang,7,5.9
Sedang,12.2,6.3
Sedang,6.9,4.1
Sedang,12.2,5.3
Sedang,7.2,4.3
Sedang,12.4,7.4
Sedang,7.1,4.3
Sedang,18,9.8
Tinggi,6.8,3.9
Tinggi,7.2,5.9
Tinggi,7,5.9
Tinggi,7.1,4.1
Tinggi,7.1,5.8
Tinggi,7.1,4.1
Tinggi,7.2,4.2
Tinggi,7.3,6
Tinggi,7.2,6
Tinggi,7.5,6.1
