Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,0.711,0.8547
Rendah,0.7969,0.8402
Rendah,0.9693,0.9504
Rendah,0.8487,0.8235
Rendah,0.8575,0.8633
Rendah,0.7777,0.8651
Rendah,0.5653,0.5111
Rendah,0.5561,0.0173
Rendah,0.5537,0.0091
Rendah,0.8673,0.6786
Sedang,0.647,0.6923
Sedang,0.8414,0.8586
Sedang,0.9021,0.8871
Sedang,0.6437,0.7228
Sedang,0.6372,0.7787
Sedang,0.7731,0.8054
Sedang,0.6212,0.6125
Sedang,0.6256,0.6614
Sedang,0.6204,0.703
Sedang,0.6585,0.6715
Tinggi,0.7295,0.7423
Tinggi,0.7229,0.7095
Tinggi,0.766,0.7925
Tinggi,0.0332,0.6404
Tinggi,0.7853,0.7114
Tinggi,0.6468,0.7992
Tinggi,0.5136,0.6914
Tinggi,0.599,0.4955
Tinggi,0.8402,0.7935
Tinggi,0.7056,0.7003
