Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,0.8405,0.7221
Rendah,0.8398,0.7981
Rendah,0.9504,0.9693
Rendah,0.8322,0.8062
Rendah,0.8724,0.8602
Rendah,0.8461,0.7864
Rendah,0.5114,0.5667
Rendah,0.0173,0.5482
Rendah,0.0091,0.5478
Rendah,0.6748,0.8367
Sedang,0.6930,0.6503
Sedang,0.8614,0.8447
Sedang,0.8879,0.9025
Sedang,0.7211,0.6422
Sedang,0.7743,0.6397
Sedang,0.8077,0.7432
Sedang,0.6142,0.6288
Sedang,0.6608,0.6333
Sedang,0.6947,0.6284
Sedang,0.6716,0.6585
Tinggi,0.7444,0.7333
Tinggi,0.7074,0.7146
Tinggi,0.7926,0.7665
Tinggi,0.6411,0.0330
Tinggi,0.7146,0.7661
Tinggi,0.7934,0.6585
Tinggi,0.6986,0.5184
Tinggi,0.4930,0.5935
Tinggi,0.7864,0.8412
Tinggi,0.7016,0.7056
