Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,2.54,2.63
Rendah,2.35,2.02
Rendah,1.61,1.34
Rendah,2.55,3.07
Rendah,2.95,2.98
Rendah,3.02,1.82
Rendah,2.87,2.65
Rendah,3.87,2.42
Rendah,3.57,3.75
Rendah,1.92,1.82
Sedang,3.39,3.36
Sedang,6.34,3.34
Sedang,3.05,3.33
Sedang,4.72,3.53
Sedang,2.83,3.06
Sedang,2.25,2.26
Sedang,5.7,4.84
Sedang,5.63,5.78
Sedang,3.76,3.81
Sedang,4.48,4.57
Tinggi,5.33,4.73
Tinggi,3.7,3.9
Tinggi,4.25,4.01
Tinggi,4.96,4.33
Tinggi,4.24,3.45
Tinggi,3.67,2.21
Tinggi,4.1,3.78
Tinggi,6.31,5.18
Tinggi,5.43,4.48
Tinggi,6.29,5.1
