Tingkat Kompleksitas,Tailwind CSS,Bootstrap
Rendah,25.69,20.37
Rendah,23.15,17.1
Rendah,17.16,15.93
Rendah,25.93,32.99
Rendah,31.78,29.72
Rendah,31.47,22.09
Rendah,29.95,28.61
Rendah,36.22,26.9
Rendah,32.55,31.27
Rendah,26.39,26
Sedang,23.98,23
Sedang,45.29,25.71
Sedang,20.94,26.26
Sedang,36.87,22.76
Sedang,18.85,20.98
Sedang,29.37,14.55
Sedang,28.07,28.17
Sedang,31.54,30.42
Sedang,29.29,28.67
Sedang,44.36,40
Tinggi,32.67,28.98
Tinggi,27.82,22.89
Tinggi,20.92,23.77
Tinggi,57,27.35
Tinggi,41.45,30.43
Tinggi,37.1,33.49
Tinggi,45.44,42.06
Tinggi,69.32,42.13
Tinggi,52.94,47.09
Tinggi,56.07,49.63
